score_text,two_year_recid,priors_count,v_score_text,juv_crime,c_charge_degree,age_cat,race,sex
0,1,2,2,2,0,0,0,1
1,0,0,1,0,0,0,1,1
0,1,2,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1
2,0,0,2,0,1,2,2,1
1,0,0,2,0,0,2,1,1
0,1,2,0,2,0,0,0,1
1,0,0,1,0,0,1,1,1
1,1,1,1,1,1,2,0,1
0,1,1,1,0,0,0,1,0
1,1,2,1,0,0,0,2,1
2,1,2,2,0,0,2,1,0
2,0,2,1,0,0,0,0,1
1,0,1,1,0,0,0,0,1
2,1,2,2,2,1,2,1,1
0,0,0,2,0,1,2,1,1
1,0,1,1,0,1,0,1,1
0,1,1,0,2,0,2,0,1
0,1,2,2,0,0,0,1,0
1,1,1,1,0,1,1,1,1
1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1
2,0,1,2,0,1,0,0,1
0,1,2,2,0,0,0,0,0
1,0,0,2,0,0,2,0,1
0,1,2,2,2,0,0,0,1
1,0,0,1,0,1,1,1,1
2,0,1,2,0,0,0,0,1
0,0,0,2,0,0,2,0,1
1,0,1,1,0,0,0,0,1
2,1,1,1,0,1,0,0,1
1,0,0,1,0,1,1,1,1
1,0,0,1,0,1,0,1,0
1,0,1,1,1,0,0,1,1
1,0,0,1,0,0,1,0,1
0,1,2,0,2,0,0,1,1
1,1,1,1,0,0,0,0,1
2,1,2,1,0,0,1,2,1
0,0,2,0,0,0,0,0,0
1,1,0,2,0,0,2,0,1
1,0,1,1,0,1,0,0,1
1,0,1,1,0,1,0,0,0
1,0,0,1,0,1,0,1,1
1,0,2,1,0,0,0,1,0
1,1,1,1,0,0,0,1,1
2,1,1,1,0,1,0,0,1
1,1,1,2,0,1,0,0,1
2,0,2,2,0,1,0,0,1
1,0,0,1,0,0,0,2,1
2,0,2,1,0,1,0,0,1
2,0,2,2,0,0,1,2,0
1,0,1,2,0,0,0,1,0
2,1,0,0,0,1,2,1,1
1,0,0,1,0,0,1,1,1
1,0,1,1,0,1,0,0,1
1,0,1,1,0,0,1,1,1
0,0,2,2,1,0,0,2,0
1,1,0,2,0,0,0,1,1
0,1,2,2,0,0,0,2,0
1,1,1,2,2,1,2,0,1
1,0,2,1,0,1,0,2,1
1,0,0,1,0,1,0,1,1
1,0,0,2,0,1,2,0,1
1,0,0,1,0,1,0,0,1
1,0,0,1,0,0,1,0,1
2,1,1,2,0,1,0,0,1
2,1,2,2,0,0,1,0,1
1,0,1,1,0,0,1,0,1
1,0,1,2,0,1,2,0,1
1,0,0,1,0,1,0,0,0
1,0,1,1,0,1,1,0,0
2,0,0,1,0,0,0,1,1
1,1,0,1,0,1,0,0,1
1,1,1,1,0,1,1,0,1
2,1,2,2,0,0,0,0,1
1,0,1,1,0,0,0,0,0
1,1,1,1,0,1,0,0,0
1,0,0,1,0,0,0,0,1
1,0,2,1,1,0,0,0,1
0,1,2,2,0,1,0,0,1
2,0,1,1,0,0,0,1,1
1,0,1,1,0,0,0,0,1
0,1,1,0,0,0,0,0,0
1,1,1,1,0,1,0,1,0
1,0,0,1,1,1,0,2,1
1,0,1,1,0,0,0,1,1
2,0,2,1,1,0,0,0,1
2,0,1,1,0,1,0,0,0
1,0,0,1,0,0,0,0,1
0,1,1,0,2,0,2,0,0
2,1,2,2,0,1,0,0,1
2,1,0,2,0,0,2,1,1
2,1,1,2,0,0,2,2,1
1,0,1,1,0,0,0,0,1
1,1,2,1,0,1,0,0,1
1,1,1,2,0,1,0,0,1
2,1,0,0,0,0,2,1,1
1,0,0,1,0,0,2,1,1
1,0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,1,1
1,0,0,1,0,1,0,0,0
1,0,2,1,0,0,1,1,1
2,0,2,1,0,0,0,0,1
1,0,0,1,0,1,0,2,1
2,0,1,2,0,0,2,0,1
1,1,1,1,0,0,0,1,1
2,0,1,2,0,0,1,1,0
2,1,2,1,0,0,0,0,1
0,1,0,1,0,0,1,0,1
2,1,2,1,1,0,0,2,1
1,0,1,1,0,0,1,0,1
0,1,0,2,1,0,2,0,1
0,1,2,0,0,0,1,0,1
2,0,1,1,0,0,1,0,1
1,0,1,1,0,1,0,0,1
1,1,2,1,0,0,1,1,1
1,0,1,1,0,0,0,1,1
1,1,0,1,0,1,0,0,1
2,0,0,2,0,0,2,0,1
1,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,0,0
1,0,1,1,0,0,0,2,1
2,0,2,1,0,1,0,0,1
1,1,0,2,0,0,2,2,1
2,1,2,1,0,0,1,1,1
1,0,1,2,0,0,2,1,0
2,0,1,1,0,1,1,1,1
1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,1,1
1,0,1,2,0,0,0,0,1
0,1,0,0,0,0,2,0,0
1,0,2,1,0,0,0,0,1
1,0,1,1,0,0,1,0,0
1,0,0,1,0,1,0,1,1
0,1,0,2,0,0,2,1,1
1,0,1,1,0,0,0,0,1
1,1,1,1,0,1,0,1,1
1,1,1,1,0,0,0,1,1
0,1,2,0,0,0,2,1,1
1,0,1,1,0,1,0,1,1
1,1,1,1,0,0,0,0,1
2,0,1,1,0,0,1,0,1
1,0,1,1,0,1,0,0,0
1,0,1,2,0,0,1,1,1
1,0,1,1,0,0,0,0,1
2,1,2,2,0,1,0,1,1
1,0,1,2,0,0,0,1,1
1,1,1,1,0,0,0,0,0
2,0,1,1,0,0,0,1,1
0,1,2,0,0,0,2,0,1
0,1,2,2,0,0,0,0,1
2,1,2,2,0,0,0,1,1
2,1,2,1,0,0,1,2,1
2,0,0,2,0,0,2,0,1
1,0,0,1,0,0,1,1,1
0,1,0,0,1,0,2,0,1
1,0,0,1,0,1,0,1,1
2,1,1,2,0,0,0,0,1
1,0,1,1,0,1,0,0,1
1,1,0,1,0,1,0,0,1
0,0,2,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1
1,0,1,1,0,1,0,1,1
1,0,1,2,0,0,2,1,1
1,1,1,1,0,1,0,0,1
1,0,1,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1
2,1,1,1,0,0,1,0,1
2,1,0,1,0,1,1,1,1
1,0,0,1,0,1,1,2,1
0,0,2,0,0,0,1,1,1
1,1,1,1,0,1,0,1,1
1,0,0,1,0,1,0,2,0
1,1,0,1,0,1,0,0,1
1,1,2,1,0,1,1,0,1
1,1,1,1,0,0,0,2,1
1,0,0,1,0,1,0,1,1
1,1,1,1,0,0,0,2,1
1,0,0,1,0,0,0,0,1
1,1,0,2,0,0,0,0,1
2,0,2,1,0,1,0,0,1
0,1,2,0,0,1,0,1,1
2,1,2,2,0,1,0,1,1
1,0,1,1,0,0,0,1,1
2,1,1,1,0,1,1,2,1
1,0,2,1,0,1,1,0,1
1,1,0,1,0,1,0,2,0
1,1,0,1,0,1,0,0,0
2,1,2,1,1,0,0,0,1
1,0,1,1,1,1,0,0,1
1,0,1,1,0,1,0,0,1
0,1,2,2,0,0,0,1,1
2,1,0,2,0,0,2,1,1
2,1,2,1,0,0,0,0,0
1,0,0,1,0,0,0,1,1
1,0,1,1,0,0,1,1,0
1,0,2,1,0,1,0,1,1
1,0,0,1,0,1,0,2,1
1,1,2,1,0,0,0,0,1
2,0,0,1,0,0,0,0,1
2,0,1,1,0,0,1,2,1
1,0,0,1,0,0,0,1,1
0,0,0,2,2,0,2,1,0
1,1,1,1,0,0,0,0,1
1,0,1,1,0,0,0,2,1
1,0,1,1,0,1,1,0,0
2,1,0,0,0,0,2,1,1
2,0,0,0,0,1,2,0,1
1,0,0,1,0,1,1,0,1
0,1,1,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1
0,1,2,0,0,0,0,1,0
0,0,2,1,0,1,2,2,1
1,1,0,1,0,0,0,0,1
1,0,1,1,0,1,1,0,1
2,0,1,2,1,0,2,0,1
2,1,2,1,0,0,0,0,1
0,1,2,2,0,0,0,0,1
2,1,0,1,0,0,0,0,0
2,0,0,2,0,0,0,0,1
2,1,2,1,0,0,0,0,1
1,0,1,1,0,0,0,1,1
1,0,1,1,0,1,1,1,1
0,1,2,0,0,0,0,0,0
1,0,0,1,0,1,1,1,1
1,0,1,1,0,1,1,0,1
2,0,0,1,0,1,0,0,0
1,0,1,1,0,1,1,0,1
1,1,1,1,0,0,0,0,0
0,1,2,1,0,0,0,0,1
0,1,1,0,1,0,2,1,1
0,0,1,0,2,0,2,2,0
2,1,0,2,0,1,0,1,1
2,1,2,1,0,0,1,1,1
1,0,1,2,0,1,2,0,1
1,0,1,1,0,0,2,1,1
2,0,1,1,0,0,0,2,0
1,0,0,1,0,1,2,0,0
0,1,2,0,1,1,0,0,1
1,0,0,1,0,0,1,0,1
1,0,1,1,0,0,0,2,0
0,0,1,2,0,0,0,1,1
1,0,0,1,0,0,0,1,1
1,1,0,1,0,1,0,1,1
0,1,2,0,1,0,2,1,1
1,1,1,1,0,1,0,2,1
1,0,1,1,0,0,1,0,0
1,0,1,1,0,1,0,0,0
1,1,2,1,0,0,0,0,0
0,0,0,2,0,0,2,1,1
2,0,1,1,0,1,0,1,1
1,1,0,2,0,0,2,1,1
1,1,1,1,0,1,0,2,1
1,1,1,1,0,1,0,1,1
1,0,0,1,0,0,1,0,0
1,0,0,1,0,1,1,2,1
0,1,2,2,0,1,0,0,1
2,1,2,2,0,0,0,1,1
1,1,1,1,0,1,0,0,1
0,0,0,0,0,1,2,2,0
1,0,0,1,0,0,0,0,1
0,1,2,1,0,0,1,1,1
2,1,2,1,1,0,0,1,1
2,0,1,2,0,0,0,0,1
1,0,0,1,0,1,1,1,1
1,0,0,1,0,1,0,1,1
1,0,0,1,0,0,1,0,1
2,1,1,2,2,0,2,0,1
0,1,2,1,0,1,0,1,1
2,1,1,2,1,0,2,0,1
2,1,1,2,0,0,2,2,1
2,0,2,1,0,0,0,0,1
0,0,0,2,0,0,2,0,1
2,1,0,1,0,0,1,0,1
2,0,1,2,0,0,2,1,1
2,1,2,1,0,0,1,2,0
2,1,1,1,0,0,0,2,1
1,0,1,1,0,1,0,0,0
2,1,2,1,0,0,1,1,1
2,0,0,1,0,1,1,1,1
1,0,1,2,0,0,2,1,1
1,0,0,1,0,1,1,0,0
2,0,1,1,0,0,0,2,1
1,0,0,2,0,1,2,0,0
1,0,0,1,0,1,0,2,1
1,1,0,1,0,0,0,0,1
2,0,0,1,0,0,0,1,1
2,0,2,2,0,0,0,2,1
2,1,1,2,0,0,0,0,1
1,1,1,1,0,1,2,0,1
2,0,1,2,0,1,0,1,1
0,1,2,2,1,0,0,0,1
0,1,2,1,0,0,0,0,1
0,1,2,0,1,0,0,1,1
2,1,0,1,0,0,1,0,0
1,1,1,1,0,0,0,0,1
1,0,2,1,0,1,0,1,1
0,0,2,2,0,0,0,0,1
0,1,1,0,0,0,2,2,1
1,0,1,2,0,0,2,0,1
1,1,2,1,0,0,0,0,1
0,1,2,1,1,1,0,0,1
2,1,1,1,0,1,0,0,1
1,1,1,2,0,0,0,0,1
1,0,0,1,0,0,1,0,1
1,0,1,1,0,0,0,1,1
2,1,1,2,0,0,2,0,1
1,0,0,1,0,0,0,1,1
2,0,1,2,2,1,2,2,0
0,0,1,0,0,1,2,0,1
0,1,2,0,1,1,0,1,1
2,0,0,0,0,1,2,2,1
2,1,2,1,0,0,1,1,1
1,1,1,1,0,0,1,0,1
0,1,2,1,1,1,1,0,1
2,0,0,2,0,1,2,1,1
1,0,0,1,0,1,0,0,1
2,1,1,1,0,1,1,0,1
1,0,1,1,0,0,0,0,0
0,1,1,0,0,0,2,1,1
1,0,1,1,2,1,0,2,1
2,1,2,1,0,1,1,0,0
0,1,0,2,0,0,2,0,1
1,0,0,1,0,0,1,1,1
2,1,2,1,2,0,0,0,1
0,1,0,2,0,1,2,0,1
0,1,0,2,0,0,2,0,0
2,1,1,2,0,0,2,1,1
1,0,1,1,0,0,1,0,1
2,1,2,1,0,0,0,0,1
1,1,0,2,0,0,2,0,1
1,1,1,1,0,0,0,2,1
2,1,2,1,0,0,1,1,0
1,0,1,1,0,1,0,0,0
1,1,1,1,0,0,0,0,1
0,1,0,2,1,0,2,0,1
0,1,2,0,0,0,0,2,1
1,0,1,1,0,1,1,0,1
1,0,1,1,0,0,0,0,1
0,1,1,2,0,0,0,0,1
1,0,1,1,0,1,0,0,1
1,1,1,1,0,1,0,1,1
2,1,0,0,0,0,2,0,1
1,0,0,1,0,0,0,2,1
1,1,1,1,0,1,1,1,1
1,0,1,2,0,0,2,0,1
1,1,0,1,0,0,1,0,1
2,1,1,1,0,0,1,0,1
1,0,1,1,0,0,0,1,1
1,0,1,1,0,0,0,0,1
1,0,1,1,0,0,2,2,1
2,0,2,2,0,0,0,0,1
1,0,0,1,0,1,1,2,1
0,0,1,0,0,1,0,0,1
1,1,0,2,0,0,2,1,1
1,1,1,1,0,0,2,0,1
1,0,0,1,0,1,0,1,1
1,0,1,1,0,0,1,2,1
0,0,1,1,0,0,0,0,1
2,0,0,2,0,1,2,0,1
1,0,1,1,0,1,0,0,1
0,1,2,1,0,0,0,2,1
1,0,0,1,0,1,0,2,0
1,1,1,1,0,1,0,0,1
2,0,1,1,0,1,1,2,1
2,1,1,2,0,1,2,2,1
0,0,1,2,0,0,2,1,1
0,1,2,2,2,0,0,0,1
1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,2,0
1,0,2,1,0,0,1,1,1
1,1,0,1,0,0,0,1,1
1,0,0,1,0,0,1,0,0
2,0,0,0,0,0,2,0,1
2,1,2,2,1,0,0,1,1
1,0,0,1,0,0,1,1,1
1,0,0,1,0,1,1,0,1
2,1,2,0,0,0,0,1,1
2,0,1,2,1,1,2,2,1
0,1,2,2,0,0,0,1,1
1,0,1,1,0,1,0,2,1
2,1,1,2,0,0,0,0,1
1,1,1,2,0,1,2,1,1
1,0,0,2,0,1,2,0,1
1,1,2,1,0,0,0,1,1
2,0,1,2,1,0,2,1,1
1,0,0,1,0,1,1,2,1
1,1,0,1,0,0,1,0,1
1,0,1,1,0,0,0,0,1
0,0,0,2,0,0,2,0,1
0,0,1,2,0,0,2,0,1
1,0,1,1,0,0,0,1,1
1,0,0,1,0,0,0,0,0
2,1,2,1,1,0,0,1,1
1,0,0,1,0,1,0,0,1
1,0,0,1,0,1,1,0,1
1,0,1,1,1,0,2,0,1
1,0,1,1,0,1,0,1,1
1,1,2,1,0,1,0,0,1
1,1,1,1,0,0,1,0,0
2,0,1,0,0,0,2,0,1
0,0,2,2,0,0,0,2,1
1,0,1,1,0,0,0,1,0
1,0,0,1,0,1,1,0,1
2,1,2,1,0,0,0,1,0
0,1,2,1,0,0,1,0,1
0,1,2,2,0,0,0,1,0
0,0,2,2,1,0,0,2,1
2,0,1,2,1,0,2,0,0
2,1,2,1,1,0,0,0,0
0,1,2,2,0,0,0,0,0
2,0,1,1,0,0,0,2,1
2,0,1,2,1,0,2,0,0
1,0,0,1,0,0,0,0,1
2,1,2,1,1,1,0,0,1
1,1,0,1,0,1,0,0,1
2,1,2,1,1,1,0,0,1
1,1,1,1,0,0,0,0,1
1,0,0,1,0,1,0,0,0
1,0,0,1,0,1,0,0,1
1,1,0,1,0,1,0,0,0
1,0,1,1,0,1,0,0,1
1,0,2,1,0,0,0,1,1
1,0,1,1,0,0,0,1,1
0,0,2,2,2,1,0,1,1
1,1,2,1,0,1,1,0,1
1,1,2,1,0,0,0,0,1
0,1,2,1,0,0,0,0,0
2,1,0,2,0,0,2,1,1
0,1,1,0,1,0,2,0,1
0,0,2,2,0,1,0,0,0
0,1,2,0,0,0,2,0,1
1,0,1,2,1,0,2,1,0
1,0,0,1,0,0,0,0,1
0,0,2,1,2,0,0,2,1
1,0,0,2,0,0,2,1,1
1,0,2,1,0,1,0,2,1
1,0,1,1,0,1,2,0,1
2,1,1,1,0,1,0,1,1
1,0,2,1,0,1,1,1,1
2,0,1,2,1,0,2,2,1
0,1,2,2,2,0,0,1,1
2,0,1,1,0,0,0,1,1
0,0,2,2,0,0,0,1,1
0,1,2,1,0,0,0,0,1
1,1,1,1,0,0,1,1,1
1,1,1,1,0,1,1,0,1
1,0,1,1,0,0,1,1,1
2,0,1,2,0,1,0,0,1
1,1,1,1,0,0,0,1,1
1,0,1,1,0,0,1,2,1
2,0,0,2,0,1,0,0,0
1,0,2,2,0,1,0,2,0
1,0,0,2,0,0,0,0,1
1,0,0,1,0,0,1,0,0
1,1,2,1,1,0,2,1,1
1,0,0,1,0,0,1,1,0
2,1,2,2,0,0,1,1,1
0,1,2,1,0,1,0,0,1
0,1,2,2,0,1,0,1,1
2,1,0,2,0,0,2,1,1
1,1,2,1,0,0,1,1,0
2,1,1,0,0,0,2,1,1
1,1,1,2,2,0,2,0,0
2,0,0,1,0,0,1,0,1
0,1,2,2,2,0,0,1,1
1,0,0,1,0,0,0,0,0
0,1,2,0,1,1,0,1,1
1,0,1,1,0,0,0,0,1
2,0,1,0,0,0,0,0,1
1,0,1,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1
1,0,2,1,0,0,0,0,1
1,1,2,1,0,0,0,0,1
1,1,1,1,0,1,0,1,1
1,0,0,1,0,1,0,0,1
1,1,2,1,0,0,1,0,1
2,0,2,2,0,0,1,0,0
1,0,0,1,0,0,0,0,1
2,0,0,1,0,0,0,0,1
0,1,2,0,0,0,0,0,1
2,1,2,1,0,0,1,0,1
1,1,0,2,0,0,2,0,1
0,1,2,0,2,0,2,2,1
1,1,0,1,0,1,0,0,1
1,1,2,1,0,1,0,0,1
0,0,0,0,0,0,2,0,1
1,0,0,1,0,0,0,1,0
0,1,1,1,0,0,0,0,1
1,0,0,1,0,1,0,1,1
1,1,1,1,0,1,0,2,1
2,1,1,2,0,0,2,0,1
2,0,0,2,0,0,0,2,1
2,1,1,1,0,1,0,0,1
1,0,1,1,0,0,0,0,1
1,0,1,1,0,0,1,2,0
0,1,2,2,0,0,2,1,0
1,1,1,1,0,0,2,1,1
1,0,0,1,0,1,2,1,0
1,1,0,1,0,1,0,0,1
1,1,1,1,0,0,0,0,1
1,0,1,1,0,0,0,0,0
1,0,1,1,0,0,0,1,1
1,0,0,2,0,0,2,2,0
2,1,0,1,0,0,1,2,1
1,0,1,1,0,1,0,1,0
1,1,2,1,0,0,1,1,0
1,1,0,1,0,1,0,1,1
1,0,0,1,0,1,1,1,1
0,0,1,0,0,0,0,1,1
1,0,0,1,0,1,0,1,1
2,0,2,1,1,1,1,0,0
0,0,1,0,0,0,2,0,0
2,1,1,1,0,0,0,0,1
2,1,1,2,1,0,2,1,1
1,0,0,1,0,0,1,1,1
1,1,2,1,0,0,0,0,0
1,0,1,1,0,0,0,1,0
2,1,2,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0
1,0,0,1,0,1,0,1,1
1,0,0,1,0,1,1,1,1
1,0,0,1,0,0,1,0,1
1,0,0,1,0,0,0,1,1
2,1,0,1,0,0,0,2,1
1,1,1,1,0,1,1,0,1
1,0,1,1,0,0,0,1,1
1,0,0,1,0,1,1,0,1
1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,1
1,0,0,2,0,1,0,1,1
2,1,2,1,0,0,0,1,0
1,0,0,1,0,0,1,1,1
2,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,2,1
2,1,0,2,0,0,2,0,1
0,1,2,1,1,0,0,1,1
1,0,1,1,0,1,1,0,1
2,1,1,1,0,0,2,0,1
1,1,0,1,0,0,1,0,1
0,0,1,2,0,0,2,2,0
1,1,0,1,0,1,0,0,1
1,0,0,1,0,1,1,0,1
1,0,2,1,0,0,0,1,1
1,0,0,1,0,1,2,0,0
2,0,0,2,0,0,0,0,0
2,1,0,0,0,1,2,1,1
2,0,0,1,0,0,0,0,1
1,1,1,1,0,0,0,1,0
2,0,1,2,0,0,2,0,1
2,0,2,2,1,1,0,0,1
1,1,2,1,0,0,0,2,1
0,1,2,2,1,0,0,0,1
1,0,0,2,0,1,0,0,1
1,1,1,1,0,0,0,1,1
0,1,2,0,1,0,0,0,1
1,1,1,1,2,0,2,0,1
2,1,1,2,0,0,2,0,1
2,1,0,0,1,0,2,0,1
1,1,0,2,0,1,2,0,1
1,1,2,1,0,0,0,1,1
2,0,2,1,0,0,0,2,1
1,0,0,1,0,1,0,0,1
1,0,2,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1
2,0,1,1,0,0,0,0,1
0,1,1,0,0,0,2,0,1
1,0,1,1,0,1,0,1,1
1,0,0,2,0,0,2,1,1
1,0,0,1,0,1,0,0,1
1,0,1,1,0,0,0,1,1
2,0,1,1,0,1,0,1,1
1,0,0,1,0,0,0,0,0
1,1,0,2,0,0,2,0,1
0,1,2,0,0,0,0,0,1
1,0,1,1,0,1,1,2,1
1,0,2,1,0,1,0,1,0
2,0,0,2,0,0,2,0,1
1,0,0,1,0,0,1,0,1
1,1,1,1,0,0,2,0,1
1,1,1,1,0,1,1,0,0
1,0,1,1,0,1,0,2,0
1,0,0,1,0,1,0,0,1
1,0,0,1,0,1,1,1,1
2,1,0,1,0,0,0,1,1
1,0,2,1,0,0,1,0,1
1,0,0,1,0,1,1,1,1
2,1,2,2,1,0,0,2,1
0,1,1,0,0,0,2,1,1
0,1,2,2,0,0,0,1,0
1,1,0,1,0,0,0,1,1
0,1,0,2,1,0,2,1,1
1,0,1,1,0,1,1,0,1
1,1,1,1,0,1,0,1,0
1,0,1,1,0,0,1,0,1
1,0,0,1,0,1,1,2,1
1,0,1,1,0,1,2,1,1
0,1,2,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0
2,0,2,1,0,0,0,0,0
1,0,2,1,0,0,1,0,0
2,1,1,2,2,0,2,0,1
2,1,1,1,0,0,1,1,1
2,0,0,2,0,0,2,0,1
1,0,0,1,0,0,2,1,1
2,0,1,1,0,0,0,0,1
1,0,2,1,0,0,0,0,1
1,0,1,1,1,0,0,1,1
1,0,0,1,0,1,0,1,1
2,0,1,2,0,0,2,1,1
1,0,0,1,0,0,1,0,1
1,0,0,1,0,1,1,0,1
2,1,2,1,0,1,0,2,1
1,0,0,1,0,0,1,0,1
1,0,0,1,0,1,0,0,1
2,1,1,1,0,1,0,1,1
1,1,0,1,0,1,0,0,1
1,0,0,1,0,0,0,0,1
2,1,2,1,0,0,0,1,1
1,1,1,1,1,0,0,0,1
2,1,2,2,2,1,2,2,1
1,0,1,1,0,0,0,0,1
2,0,1,1,0,0,0,0,0
1,0,1,1,0,1,0,0,0
1,0,0,1,0,0,1,2,1
2,1,2,1,0,1,0,0,1
2,0,0,1,0,0,0,2,1
0,0,1,2,0,0,2,1,1
2,1,1,2,0,0,2,0,1
1,0,0,1,0,0,1,0,0
2,1,0,2,0,0,2,1,1
2,1,0,2,1,0,2,0,1
0,1,2,2,0,1,0,0,1
1,0,1,1,0,1,1,0,1
0,1,2,2,0,1,0,0,1
0,0,2,2,0,0,0,2,1
2,0,2,2,0,0,1,0,0
1,1,0,1,0,0,0,1,1
1,0,0,1,0,0,1,1,1
1,0,1,1,0,0,1,1,1
1,0,0,1,0,1,1,0,1
0,0,2,2,1,0,0,1,1
2,0,2,2,0,0,1,2,1
1,0,1,1,0,1,1,2,1
1,0,1,1,0,0,0,0,1
0,1,1,1,0,0,0,0,1
1,0,0,1,0,0,0,0,0
1,0,2,1,0,0,0,0,1
2,0,2,1,0,1,0,0,0
0,0,2,1,2,0,0,1,0
1,1,0,1,0,1,0,0,1
0,1,1,0,0,0,2,0,0
1,0,2,1,0,1,1,1,1
1,0,2,1,0,1,0,0,1
2,0,2,2,0,0,0,1,1
2,1,0,2,1,0,2,1,1
0,0,2,0,2,0,0,0,1
1,0,0,1,0,1,1,1,1
2,0,0,2,0,1,2,0,1
1,0,0,2,1,0,2,0,1
2,0,0,1,1,0,2,1,1
2,1,0,1,0,0,0,2,1
2,0,0,2,0,0,0,1,1
1,0,2,1,0,0,0,0,0
2,1,2,2,1,0,0,2,1
1,1,0,2,1,1,2,1,1
1,1,1,1,0,0,0,0,0
2,1,2,2,0,0,0,0,1
1,0,1,1,0,0,2,1,1
1,0,1,1,0,0,1,0,1
1,1,1,1,0,0,0,2,1
0,0,1,0,1,0,0,0,1
1,1,1,1,0,0,2,1,1
2,1,1,2,0,0,2,0,1
2,1,0,0,0,0,2,0,1
1,0,1,1,0,1,0,0,1
1,1,0,1,0,0,0,0,1
2,1,2,2,0,0,0,2,1
1,0,0,1,0,0,0,0,0
2,1,0,2,0,0,2,0,1
1,1,0,1,0,0,2,2,1
1,1,2,1,0,0,1,0,1
0,1,2,0,1,0,0,2,1
1,1,1,1,0,0,0,2,1
0,0,0,2,0,0,2,0,0
0,1,2,0,2,0,2,0,0
0,1,2,0,0,0,0,1,1
1,0,0,1,0,1,1,0,0
2,1,2,0,0,0,2,0,0
1,0,0,1,0,1,0,1,1
2,0,2,1,0,0,0,2,1
1,0,0,1,0,1,0,0,0
2,0,1,1,0,0,1,0,1
2,0,1,1,0,0,0,2,1
1,0,1,1,0,0,1,1,1
0,1,0,2,0,0,2,0,1
0,1,2,2,2,0,0,0,1
2,0,0,1,0,1,0,1,1
0,1,2,2,1,0,0,2,0
0,1,1,0,0,1,2,0,1
2,1,0,2,2,0,2,0,1
1,0,0,1,0,1,1,2,1
0,1,0,2,1,0,2,1,1
1,1,0,2,0,0,2,0,1
2,0,2,1,0,0,1,0,1
2,0,2,2,2,1,2,1,1
