capital-gain,capital-loss,educational-num,marital-status,workclass,education,occupation,race,native-country,Class-label,relationship,age,hours-per-week,gender,fnlwgt
63.5,-313.9,39.2,-32,43,-19,50,-15,2255,1,-368,3.3,33.5,1,86734.8
58.1,-282.8,36.0,-30,38,-18,47,-14,2058,0,-338,2.9,29.7,0,79271.2
60.7,-290.6,37.6,-31,40,-19,48,-14,2152,0,-353,3.2,31.7,0,82722.6
59.4,-285.5,36.8,-30,39,-18,47,-14,2118,0,-346,3.0,30.6,0,81662.1
67.0,-307.4,41.3,-34,47,-21,52,-16,2354,1,-389,3.7,36.6,1,90568.0
60.6,-286.6,37.5,-31,40,-19,48,-14,2120,0,-352,3.0,31.5,0,81622.6
55.5,-256.4,34.5,-28,35,-17,45,-13,2013,0,-323,2.3,27.7,0,77535.2
72.1,-347.8,44.3,-37,52,-22,55,-17,2504,1,-418,4.8,40.3,1,96518.4
63.6,-296.0,39.3,-32,43,-20,50,-15,2266,1,-369,3.1,33.9,1,87275.2
63.3,-286.2,39.2,-32,43,-19,50,-15,2276,1,-368,3.0,33.8,1,87704.0
60.9,-297.3,37.7,-31,41,-19,48,-14,2133,0,-354,3.0,31.7,0,82154.7
70.0,-319.1,43.1,-36,50,-22,54,-16,2521,1,-406,3.9,38.8,1,96978.7
57.7,-261.3,35.8,-30,38,-18,46,-14,2092,0,-337,3.1,29.6,0,80535.7
63.0,-302.3,38.9,-32,43,-19,50,-15,2266,1,-366,3.1,33.3,1,87210.4
61.5,-307.4,38.0,-31,41,-19,49,-14,2229,0,-357,3.1,32.2,0,85767.3
57.7,-249.8,35.8,-30,37,-18,46,-14,2079,0,-336,2.6,29.5,0,79994.3
61.8,-295.8,38.2,-31,41,-19,49,-15,2272,0,-359,3.1,32.5,0,87435.3
60.6,-303.0,37.5,-31,40,-19,48,-14,2097,0,-352,3.0,31.6,0,80768.5
70.3,-335.3,43.2,-36,50,-22,54,-17,2488,1,-407,3.8,39.1,1,95670.8
58.6,-281.2,36.3,-30,38,-18,47,-14,2081,0,-341,2.3,30.1,0,80042.8
61.5,-310.4,38.0,-32,41,-19,49,-15,2171,0,-358,3.2,32.4,0,83578.4
71.4,-336.7,43.8,-36,51,-22,55,-17,2477,1,-413,4.4,39.6,1,95318.0
62.6,-282.4,38.7,-32,42,-19,49,-15,2239,1,-363,3.3,32.9,1,86155.7
57.6,-310.4,35.7,-29,38,-18,46,-14,2065,0,-335,2.6,29.1,0,79692.3
63.0,-285.3,38.9,-32,43,-19,50,-15,2238,1,-366,3.2,33.6,1,86099.1
66.4,-327.6,41.0,-34,46,-20,52,-16,2323,1,-386,3.2,36.2,1,89494.3
61.2,-299.7,37.9,-31,41,-19,49,-14,2200,0,-356,3.0,32.2,0,84699.9
62.5,-278.2,38.6,-32,42,-19,49,-15,2212,1,-363,3.2,33.0,1,85209.8
57.1,-256.8,35.5,-29,37,-17,46,-14,2017,0,-333,2.3,29.1,0,77597.3
57.1,-256.1,35.5,-29,37,-17,46,-14,2059,0,-333,2.5,29.1,0,79212.7
62.5,-297.6,38.7,-32,42,-19,49,-15,2208,1,-363,3.3,32.8,1,85061.3
65.5,-311.3,40.4,-34,45,-20,51,-15,2309,1,-380,3.8,35.3,1,89005.9
59.3,-291.7,36.7,-30,39,-18,47,-14,2067,0,-345,2.4,30.6,0,79594.3
67.7,-317.1,41.7,-34,47,-21,53,-16,2433,1,-392,3.7,36.7,1,93501.6
60.2,-284.5,37.3,-31,40,-18,48,-14,2101,0,-350,3.0,31.2,0,81023.3
65.7,-305.2,40.5,-33,45,-20,51,-15,2341,1,-381,3.5,35.4,1,90062.6
58.2,-262.4,36.1,-30,38,-18,47,-14,2072,0,-339,2.4,29.9,0,79690.4
63.9,-292.8,39.5,-32,44,-20,50,-15,2247,1,-371,3.2,34.0,1,86509.1
57.4,-256.6,35.7,-29,37,-17,46,-14,2025,0,-334,2.8,29.1,0,77937.6
57.2,-281.4,35.5,-29,37,-17,46,-14,2086,0,-333,3.0,29.1,0,80259.5
60.7,-293.2,37.6,-31,40,-19,48,-14,2176,0,-353,2.8,31.9,0,83674.0
69.2,-313.0,42.6,-35,49,-21,54,-16,2456,1,-401,3.6,38.0,1,94503.1
66.7,-294.3,41.1,-34,46,-21,52,-16,2330,1,-386,3.5,36.0,1,89743.1
59.7,-281.2,37.0,-31,40,-18,48,-14,2153,0,-348,2.7,31.1,0,82936.1
59.0,-314.7,36.6,-30,39,-18,47,-14,2142,0,-344,2.6,30.5,0,82446.6
61.1,-278.0,37.8,-31,41,-19,49,-14,2194,0,-355,2.5,31.9,0,84498.2
57.6,-285.4,35.8,-29,37,-18,46,-14,2033,0,-335,2.9,29.2,0,78317.8
63.4,-313.4,39.2,-32,43,-19,50,-15,2270,1,-368,3.2,33.7,1,87421.6
69.9,-351.6,43.0,-35,50,-22,54,-16,2471,1,-405,4.1,38.4,1,95160.0
69.3,-345.2,42.6,-35,49,-21,54,-16,2471,1,-402,3.7,38.3,1,95024.2
62.2,-284.4,38.5,-32,42,-19,49,-15,2189,1,-361,2.7,32.9,1,84241.7
57.0,-256.5,35.4,-29,37,-17,46,-14,2015,0,-331,2.7,28.6,0,77694.8
63.8,-307.7,39.4,-33,43,-20,50,-15,2264,1,-371,3.0,34.2,1,87214.3
57.2,-284.1,35.5,-29,37,-17,46,-14,2054,0,-333,2.5,29.1,0,79227.4
60.3,-293.6,37.3,-31,40,-18,48,-14,2150,0,-350,3.1,31.2,0,82903.9
75.9,-338.9,46.5,-39,56,-24,58,-18,2641,1,-439,4.5,43.2,1,101702.7
69.5,-327.9,42.7,-35,49,-22,54,-16,2425,1,-402,3.8,38.2,1,93350.7
68.1,-319.6,41.9,-35,48,-21,53,-16,2401,1,-395,3.6,37.4,1,92518.8
61.7,-296.0,38.1,-31,41,-19,49,-15,2190,0,-358,3.3,32.3,0,84397.4
63.8,-309.7,39.4,-33,44,-20,50,-15,2271,1,-371,3.2,34.1,1,87342.1
59.4,-271.0,36.8,-30,39,-18,47,-14,2157,0,-345,3.0,30.5,0,82917.7
74.9,-345.0,46.0,-38,55,-23,57,-17,2647,1,-434,4.4,42.6,1,101783.0
62.0,-278.1,38.3,-32,42,-19,49,-15,2244,0,-360,3.3,32.6,0,86379.2
56.9,-256.3,35.3,-29,37,-17,46,-14,2046,0,-332,2.7,28.9,0,78830.9
61.5,-308.7,38.1,-31,41,-19,49,-15,2192,0,-358,3.0,32.3,0,84547.2
65.0,-316.6,40.1,-33,45,-20,51,-15,2308,1,-377,3.4,34.8,1,88733.4
70.4,-317.1,43.3,-36,50,-22,54,-17,2489,1,-408,3.9,39.0,1,95736.3
57.7,-267.9,35.8,-30,37,-18,46,-14,2057,0,-336,2.9,29.5,0,79266.8
58.0,-276.9,36.0,-29,38,-18,47,-14,2033,0,-337,2.8,29.5,0,78300.5
65.4,-300.1,40.4,-34,45,-20,51,-16,2331,1,-380,3.5,35.4,1,89759.2
57.5,-279.1,35.7,-29,37,-17,46,-14,2016,0,-335,2.9,29.3,0,77681.1
57.2,-274.8,35.5,-29,37,-17,46,-14,2012,0,-334,2.7,29.2,0,77608.1
71.3,-323.8,43.8,-36,51,-22,55,-17,2484,1,-413,3.8,39.6,1,95624.1
66.0,-301.0,40.7,-34,46,-20,52,-16,2382,1,-383,3.7,35.7,1,91563.9
69.8,-346.6,42.9,-35,49,-22,54,-16,2437,1,-404,4.0,38.3,1,93770.3
66.8,-301.9,41.2,-34,47,-21,52,-16,2369,1,-388,3.5,36.4,1,91217.9
60.0,-289.6,37.2,-31,40,-18,48,-14,2139,0,-349,3.0,31.0,0,82462.1
58.6,-288.8,36.3,-30,38,-18,47,-14,2051,0,-341,2.8,30.0,0,79065.7
60.9,-275.6,37.7,-31,41,-19,48,-14,2144,0,-355,2.8,32.0,0,82545.0
56.7,-277.6,35.2,-29,36,-17,46,-14,2037,0,-331,2.6,28.9,0,78463.6
57.3,-271.1,35.6,-29,37,-17,46,-14,2076,0,-334,2.8,29.1,0,80038.1
60.8,-301.0,37.6,-31,40,-19,48,-14,2181,0,-354,3.2,31.8,0,83945.6
59.2,-273.5,36.7,-30,39,-18,47,-14,2142,0,-345,3.0,30.7,0,82298.9
66.8,-348.1,41.2,-34,46,-21,52,-16,2353,1,-387,3.1,36.3,1,90595.5
63.4,-293.7,39.2,-32,43,-19,50,-15,2213,1,-368,2.9,33.6,1,85243.1
64.3,-301.4,39.7,-33,44,-20,50,-15,2246,1,-373,3.4,34.3,1,86606.8
64.8,-282.7,40.0,-33,44,-20,51,-15,2336,1,-376,3.7,34.5,1,89966.6
60.9,-262.7,37.7,-31,40,-19,48,-15,2145,0,-353,3.0,31.6,0,82550.8
58.2,-263.4,36.1,-30,38,-18,47,-14,2057,0,-339,2.5,29.8,0,79336.2
61.0,-309.9,37.8,-31,41,-19,49,-15,2190,0,-355,2.9,32.0,0,84251.0
68.3,-330.3,42.1,-35,48,-21,53,-16,2420,1,-396,3.5,37.4,1,93123.7
67.2,-326.6,41.4,-34,47,-21,52,-16,2396,1,-389,3.6,36.5,1,92217.1
56.8,-264.1,35.3,-29,37,-17,46,-14,1978,0,-331,2.8,28.7,0,76200.9
62.2,-284.1,38.4,-32,42,-19,49,-15,2227,1,-361,3.2,32.7,0,85851.7
65.3,-305.7,40.3,-33,45,-20,51,-15,2329,1,-379,3.3,35.1,1,89706.8
64.3,-296.3,39.7,-33,44,-20,51,-15,2312,1,-373,3.1,34.5,1,89062.4
62.8,-301.8,38.8,-32,43,-19,50,-15,2216,1,-365,3.2,33.3,1,85277.8
68.0,-327.5,41.9,-35,48,-21,53,-16,2414,1,-395,3.8,37.4,1,92968.7
59.9,-265.7,37.1,-31,40,-18,48,-14,2138,0,-349,2.6,31.3,0,82233.6
57.2,-287.5,35.5,-29,37,-17,46,-14,2047,0,-333,2.6,29.0,0,78898.1
60.8,-292.6,37.6,-31,41,-19,48,-14,2152,0,-353,3.3,31.5,0,82871.4
57.3,-256.7,35.6,-29,37,-17,46,-14,2039,0,-334,2.6,29.2,0,78435.9
56.2,-277.8,34.9,-29,36,-17,45,-13,1975,0,-328,2.6,28.3,0,76040.7
60.4,-278.0,37.4,-31,40,-18,48,-15,2183,0,-351,2.9,31.3,0,83996.3
65.2,-315.4,40.3,-33,45,-20,51,-15,2304,1,-379,3.4,35.2,1,88802.6
78.1,-383.0,47.9,-40,58,-24,59,-18,2759,1,-451,4.9,44.7,1,106019.4
58.6,-273.7,36.3,-30,38,-18,47,-14,2053,0,-340,2.8,29.8,0,79063.1
65.0,-302.6,40.1,-33,45,-20,51,-15,2301,1,-377,3.5,34.9,1,88537.2
60.1,-292.6,37.2,-31,40,-18,48,-14,2165,0,-349,3.0,31.1,0,83359.1
61.9,-276.4,38.3,-32,42,-19,49,-15,2170,0,-360,3.2,32.6,0,83606.2
63.1,-286.7,39.0,-32,43,-19,50,-15,2237,1,-366,3.6,33.3,1,86247.0
58.3,-294.5,36.2,-30,38,-18,47,-14,2086,0,-340,2.9,29.9,0,80414.2
65.5,-295.8,40.4,-33,45,-20,51,-15,2312,1,-380,3.3,35.3,1,89052.3
58.3,-253.7,36.2,-30,38,-18,47,-14,2044,0,-339,2.6,29.8,0,78597.3
59.9,-285.3,37.1,-30,39,-18,48,-14,2139,0,-348,2.7,30.8,0,82321.6
62.1,-314.2,38.4,-32,42,-19,49,-15,2188,0,-361,2.8,32.7,0,84220.3
66.1,-321.9,40.7,-34,46,-20,52,-16,2351,1,-383,3.4,35.8,1,90421.9
60.3,-263.1,37.3,-31,40,-18,48,-14,2157,0,-351,3.0,31.3,0,83073.9
69.8,-322.8,42.9,-36,50,-22,54,-16,2434,1,-405,3.8,38.7,1,93616.3
59.2,-286.3,36.7,-30,39,-18,47,-14,2146,0,-344,3.0,30.5,0,82598.3
65.9,-300.4,40.6,-33,46,-20,52,-16,2328,1,-382,3.1,35.5,1,89617.3
65.4,-309.4,40.3,-33,45,-20,51,-15,2309,1,-380,3.5,35.2,1,88802.8
59.7,-293.8,37.0,-31,39,-18,48,-14,2150,0,-348,2.9,31.1,0,82758.9
60.2,-285.6,37.3,-31,40,-18,48,-14,2183,0,-351,3.2,31.4,0,84083.4
59.9,-296.7,37.1,-30,40,-18,48,-14,2131,0,-348,3.0,30.9,0,81948.8
60.8,-308.9,37.6,-31,40,-19,48,-15,2152,0,-353,3.4,31.4,0,82954.9
57.9,-267.8,35.9,-29,38,-18,46,-14,2086,0,-337,2.5,29.4,0,80353.7
59.1,-276.1,36.6,-30,39,-18,47,-14,2152,0,-344,3.0,30.3,0,82801.9
61.7,-294.1,38.2,-31,41,-19,49,-14,2220,0,-358,3.0,32.3,0,85413.0
62.8,-286.2,38.8,-32,42,-19,50,-15,2188,1,-365,3.1,33.2,1,84242.0
62.2,-275.5,38.5,-32,42,-19,49,-15,2212,1,-362,2.9,32.9,1,85095.8
64.1,-307.9,39.6,-33,44,-20,50,-15,2268,1,-372,3.1,34.5,1,87277.1
64.2,-311.0,39.6,-33,44,-20,50,-15,2301,1,-373,3.5,34.3,1,88464.3
61.1,-299.0,37.8,-31,41,-19,49,-14,2144,0,-355,3.2,31.7,0,82674.8
57.3,-262.9,35.5,-29,37,-17,46,-14,2010,0,-333,2.5,29.1,0,77514.1
62.1,-284.3,38.4,-32,42,-19,49,-15,2172,0,-361,3.1,32.6,0,83680.3
61.5,-282.0,38.1,-31,41,-19,49,-15,2210,0,-358,2.9,32.4,0,85081.9
75.2,-362.3,46.1,-38,55,-23,57,-18,2711,1,-435,4.5,42.5,1,104280.0
61.5,-291.0,38.1,-32,41,-19,49,-15,2189,0,-358,2.9,32.4,0,84262.0
58.8,-278.5,36.4,-30,38,-18,47,-14,2076,0,-342,2.8,30.1,0,80044.0
56.7,-257.9,35.2,-29,36,-17,46,-13,2030,0,-331,2.6,28.9,0,78105.9
64.9,-291.8,40.0,-33,44,-20,51,-15,2321,1,-376,3.3,34.7,1,89227.7
60.1,-290.3,37.2,-31,40,-18,48,-14,2125,0,-349,2.8,31.2,0,81729.5
56.8,-275.3,35.3,-29,37,-17,46,-13,2037,0,-331,2.4,28.7,0,78479.3
67.9,-318.2,41.8,-35,48,-21,53,-16,2405,1,-394,4.0,37.1,1,92592.2
62.3,-287.8,38.5,-32,42,-19,49,-15,2256,1,-362,3.0,32.8,1,86657.8
66.3,-347.2,40.9,-34,46,-20,52,-15,2364,1,-385,3.3,36.0,1,90733.9
56.5,-255.0,35.1,-29,36,-17,46,-14,2013,0,-330,2.5,28.7,0,77595.3
57.4,-273.9,35.6,-29,37,-17,46,-14,2013,0,-335,2.5,29.3,0,77549.1
64.3,-309.8,39.7,-33,44,-20,51,-15,2260,1,-373,3.6,34.2,1,86935.2
60.6,-281.7,37.5,-31,40,-19,48,-14,2135,0,-352,2.8,31.7,0,82170.6
59.5,-269.0,36.9,-30,39,-18,47,-14,2098,0,-346,2.7,30.9,0,80686.3
60.8,-289.4,37.7,-31,41,-19,48,-14,2123,0,-354,2.8,31.8,0,81838.7
65.8,-296.6,40.6,-33,45,-20,52,-15,2335,1,-381,3.4,35.4,1,89939.0
62.3,-279.3,38.5,-32,42,-19,49,-15,2222,1,-362,3.3,32.7,0,85591.5
63.3,-290.2,39.1,-32,43,-19,50,-15,2249,1,-368,3.1,33.8,1,86585.4
59.1,-303.4,36.7,-30,39,-18,47,-14,2046,0,-344,2.9,30.5,0,78876.4
60.6,-278.2,37.5,-31,40,-19,48,-14,2132,0,-352,2.8,31.5,0,82084.5
58.2,-266.9,36.2,-30,38,-18,47,-14,2065,0,-339,2.4,29.9,0,79555.0
60.0,-300.6,37.1,-31,40,-18,48,-14,2172,0,-349,3.0,31.2,0,83586.6
59.4,-269.9,36.8,-31,39,-18,47,-14,2093,0,-346,2.6,31.0,0,80611.5
57.3,-242.8,35.5,-29,37,-17,46,-13,2046,0,-333,2.5,29.0,0,78889.8
60.6,-279.7,37.5,-31,40,-18,48,-14,2155,0,-352,3.0,31.6,0,82813.1
63.4,-290.9,39.2,-32,43,-19,50,-15,2213,1,-368,3.5,33.6,1,85172.3
62.2,-282.2,38.5,-32,42,-19,49,-15,2228,1,-362,3.1,32.8,1,85869.6
56.0,-271.5,34.8,-29,36,-17,45,-13,2045,0,-326,2.8,28.0,0,78757.2
62.9,-287.5,38.9,-32,43,-19,50,-15,2245,1,-366,3.1,33.4,1,86338.9
60.8,-284.2,37.6,-31,40,-19,48,-14,2173,0,-353,2.6,31.7,0,83737.6
61.0,-295.1,37.8,-31,41,-19,48,-14,2185,0,-355,3.1,32.1,0,84168.8
59.4,-281.0,36.8,-30,39,-18,47,-14,2113,0,-345,2.6,30.6,0,81349.7
63.4,-302.7,39.2,-32,43,-19,50,-15,2237,1,-368,3.6,33.6,1,86092.5
62.8,-278.2,38.8,-32,43,-19,50,-15,2218,1,-365,3.5,33.2,1,85322.1
57.9,-266.3,35.9,-30,38,-18,46,-14,2068,0,-337,2.7,29.5,0,79752.3
63.1,-307.5,39.0,-32,43,-19,50,-15,2234,1,-367,2.9,33.7,1,85921.5
72.2,-338.1,44.3,-37,52,-22,55,-17,2525,1,-419,4.3,40.6,1,97124.6
59.8,-274.7,37.0,-31,40,-18,48,-14,2124,0,-348,2.5,31.1,0,81781.8
60.5,-290.9,37.5,-31,40,-18,48,-14,2145,0,-352,3.3,31.6,0,82549.2
61.7,-282.5,38.1,-31,41,-19,49,-15,2165,0,-358,2.9,32.5,0,83413.5
59.7,-302.9,37.0,-30,39,-18,48,-14,2146,0,-347,2.9,30.7,0,82561.8
62.3,-302.7,38.6,-32,42,-19,49,-14,2254,1,-362,3.5,32.9,1,86631.8
59.6,-298.0,36.9,-30,39,-18,48,-14,2129,0,-346,3.1,30.7,0,81958.2
68.9,-350.9,42.4,-35,49,-21,54,-16,2425,1,-400,3.7,37.9,1,93495.6
62.4,-331.3,38.6,-32,42,-19,49,-15,2154,1,-362,3.1,33.0,1,82969.1
58.2,-275.4,36.1,-30,38,-18,47,-14,2026,0,-338,2.5,29.7,0,78125.2
64.0,-319.4,39.5,-33,44,-20,50,-15,2251,1,-372,3.1,34.4,1,86575.3
58.7,-294.5,36.4,-30,38,-18,47,-14,2073,0,-341,2.9,30.0,0,79801.4
58.2,-295.6,36.1,-30,38,-18,47,-14,2080,0,-339,2.5,29.8,0,80126.5
66.7,-310.5,41.1,-34,46,-21,52,-16,2390,1,-387,3.5,36.2,1,91983.0
61.8,-295.0,38.2,-32,41,-19,49,-15,2180,0,-359,3.2,32.4,0,84024.4
63.0,-304.5,38.9,-32,43,-19,50,-15,2212,1,-366,3.3,33.3,1,85123.8
59.9,-272.2,37.1,-30,40,-18,48,-14,2114,0,-348,2.9,30.9,0,81487.5
66.4,-318.8,40.9,-34,46,-20,52,-16,2356,1,-385,3.6,36.0,1,90584.0
59.4,-289.7,36.8,-30,39,-18,47,-14,2079,0,-345,2.7,30.7,0,80142.1
66.5,-332.5,41.0,-34,46,-21,52,-16,2387,1,-387,3.6,36.3,1,91855.2
59.5,-292.3,36.8,-30,39,-18,48,-14,2133,0,-346,2.8,30.7,0,82136.2
63.0,-276.4,38.9,-32,43,-19,50,-15,2205,1,-367,3.4,33.6,1,84856.6
75.8,-372.5,46.5,-38,56,-24,58,-18,2655,1,-439,4.5,43.1,1,102229.3
57.1,-255.7,35.5,-29,37,-17,46,-13,2045,0,-333,2.9,29.0,0,78779.4
59.5,-276.9,36.9,-30,39,-18,47,-14,2136,0,-346,2.9,30.8,0,82280.7
63.3,-302.4,39.1,-32,43,-19,50,-15,2308,1,-367,3.2,33.6,1,88825.4
71.0,-348.2,43.7,-36,51,-22,55,-17,2473,1,-411,4.0,39.4,1,95149.2
63.2,-281.8,39.0,-32,43,-19,50,-15,2218,1,-367,3.2,33.4,1,85373.2
69.5,-336.3,42.8,-35,49,-22,54,-16,2492,1,-403,4.1,38.3,1,95834.1
