race,male,fam_inc,tier,fulltime,lsat,ugpa,decile1b,decile3,zgpa,zfygpa,pass_bar
1,0,2,4,1,22.4,2.3,6.2,5.4,0.61,0.75,0
1,0,3,3,1,26.8,2.1,6.3,6.1,0.73,0.81,0
1,0,2,2,1,26.1,2.3,6.3,5.6,0.63,0.75,0
0,0,3,3,1,27.7,2.3,6.3,5.6,0.64,0.76,0
1,0,3,2,2,35.6,2.3,6.3,5.7,0.64,0.74,0
1,1,7,10,2,78.5,2.3,6.2,5.6,0.65,0.76,1
1,1,7,13,2,85.1,2.4,6.3,5.4,0.59,0.71,1
1,0,3,2,1,27.3,2.3,6.3,5.5,0.61,0.72,0
1,0,2,4,1,22.8,2.1,6.3,6.0,0.71,0.81,0
1,0,4,5,2,44.4,2.2,6.2,5.7,0.66,0.78,0
1,0,2,1,1,22.1,2.2,6.3,5.6,0.65,0.78,0
1,0,2,1,1,24.8,2.2,6.3,5.7,0.68,0.81,0
1,0,4,5,2,43.6,2.4,6.2,5.4,0.6,0.73,0
1,0,3,3,1,26.9,2.2,6.3,5.9,0.69,0.8,0
0,1,5,6,2,60.1,2.3,6.3,5.5,0.62,0.76,0
1,0,3,4,1,28.6,2.2,6.3,5.7,0.67,0.78,0
1,1,9,14,2,104.3,2.2,6.2,5.8,0.67,0.78,1
1,0,2,5,1,22.1,2.2,6.3,5.8,0.67,0.77,0
1,0,4,10,2,46.7,2.1,6.3,6.2,0.74,0.82,0
1,1,4,5,2,48.7,2.3,6.3,5.7,0.65,0.73,0
1,0,3,3,1,27.0,2.2,6.3,5.8,0.66,0.75,0
1,1,5,11,2,62.4,2.2,6.2,5.8,0.67,0.78,0
1,0,3,4,1,31.4,2.2,6.3,5.7,0.67,0.79,0
1,1,7,13,2,77.8,2.4,6.3,5.3,0.59,0.74,1
1,0,3,1,1,26.9,2.2,6.2,5.9,0.68,0.78,0
1,1,5,7,2,55.7,2.3,6.3,5.6,0.62,0.73,0
1,0,2,3,1,20.3,2.4,6.3,5.5,0.59,0.68,0
1,0,3,6,1,32.5,2.3,6.2,5.5,0.61,0.73,0
1,0,2,2,1,26.1,2.4,6.3,5.5,0.6,0.71,0
1,0,2,4,1,21.5,2.3,6.2,5.6,0.61,0.71,0
1,0,4,5,2,39.1,2.2,6.2,5.8,0.66,0.77,0
1,1,5,6,2,57.0,2.2,6.3,5.7,0.66,0.78,0
1,1,8,12,2,96.2,2.2,6.3,5.8,0.68,0.8,1
1,0,3,6,2,38.6,2.2,6.2,5.7,0.65,0.77,0
1,1,5,2,2,52.0,2.3,6.3,5.5,0.62,0.74,0
0,0,2,2,1,26.2,2.3,6.3,5.5,0.62,0.75,0
0,0,3,1,1,22.7,2.3,6.2,5.4,0.61,0.75,0
0,0,4,5,2,46.5,2.3,6.2,5.7,0.65,0.76,0
0,1,4,7,2,47.1,2.3,6.2,5.5,0.62,0.74,0
1,0,4,4,2,41.3,2.3,6.3,5.5,0.61,0.71,0
0,1,7,11,2,80.3,2.5,6.3,5.2,0.55,0.68,1
1,0,4,3,2,47.4,2.4,6.3,5.3,0.57,0.7,0
1,1,6,7,2,71.0,2.2,6.2,5.9,0.7,0.8,1
1,0,2,2,1,22.6,2.3,6.2,5.6,0.63,0.75,0
0,0,2,6,1,25.3,2.3,6.3,5.6,0.63,0.76,0
1,0,4,4,2,40.9,2.2,6.3,5.9,0.69,0.8,0
1,0,3,4,2,37.3,2.3,6.2,5.6,0.64,0.75,0
1,0,3,3,1,31.4,2.2,6.3,5.7,0.66,0.78,0
1,0,2,3,1,24.1,2.3,6.3,5.6,0.63,0.75,0
1,0,2,4,1,25.0,2.3,6.2,5.6,0.64,0.77,0
1,0,2,1,1,22.7,2.4,6.3,5.3,0.59,0.73,0
1,0,2,1,1,20.3,2.2,6.3,5.7,0.65,0.78,0
1,1,5,7,2,54.4,2.2,6.3,5.6,0.65,0.79,0
1,0,2,5,1,23.8,2.4,6.3,5.4,0.59,0.71,0
1,0,4,6,2,44.3,2.2,6.2,5.7,0.67,0.79,0
1,0,2,3,1,23.2,2.4,6.3,5.3,0.58,0.7,0
1,0,2,1,1,22.7,2.4,6.3,5.2,0.57,0.73,0
1,1,5,7,2,50.7,2.2,6.3,5.9,0.69,0.78,0
1,0,2,2,1,21.2,2.4,6.2,5.5,0.6,0.71,0
0,0,2,1,1,23.9,2.3,6.2,5.5,0.61,0.75,0
1,1,5,6,2,53.4,2.3,6.3,5.6,0.64,0.77,0
0,1,7,14,2,81.6,2.3,6.3,5.5,0.62,0.74,1
0,1,4,7,2,51.2,2.4,6.3,5.4,0.59,0.71,0
1,0,3,8,2,44.0,2.3,6.2,5.5,0.61,0.71,0
1,1,5,9,2,61.8,2.3,6.3,5.6,0.64,0.76,0
1,0,2,2,1,24.8,2.1,6.2,6.1,0.72,0.81,0
1,0,2,1,1,24.2,2.3,6.3,5.7,0.65,0.76,0
1,0,2,1,1,23.0,2.3,6.3,5.5,0.61,0.74,0
1,0,3,7,1,23.6,2.2,6.3,5.6,0.65,0.78,0
0,0,2,4,1,21.1,2.4,6.3,5.3,0.58,0.72,0
1,1,5,11,2,55.4,2.1,6.2,5.9,0.7,0.8,0
0,0,2,5,1,27.2,2.4,6.3,5.3,0.59,0.73,0
1,0,2,2,1,23.1,2.3,6.3,5.4,0.6,0.75,0
1,1,6,10,2,66.9,2.3,6.3,5.7,0.65,0.75,1
1,0,2,2,1,24.6,2.3,6.2,5.6,0.64,0.76,0
1,1,5,7,2,52.7,2.2,6.2,5.7,0.67,0.79,0
1,1,6,10,2,66.4,2.3,6.3,5.5,0.63,0.77,0
0,0,3,1,2,41.7,2.4,6.2,5.3,0.58,0.72,0
0,0,2,2,1,25.5,2.4,6.3,5.3,0.57,0.7,0
0,0,2,2,1,19.7,2.3,6.3,5.4,0.61,0.76,0
0,0,1,2,1,20.6,2.4,6.3,5.3,0.59,0.72,0
1,0,4,7,2,39.3,2.1,6.3,5.9,0.7,0.81,0
1,0,3,6,1,33.9,2.2,6.3,5.8,0.67,0.79,0
1,0,2,1,1,23.4,2.2,6.3,5.9,0.69,0.79,0
1,0,2,1,1,23.4,2.4,6.3,5.3,0.59,0.74,0
1,0,2,0,1,24.2,2.3,6.3,5.6,0.64,0.76,0
1,0,2,2,1,26.4,2.2,6.3,5.9,0.68,0.76,0
1,0,3,3,1,30.7,2.2,6.3,5.8,0.67,0.76,0
0,0,3,4,1,24.1,2.3,6.3,5.7,0.65,0.75,0
0,0,4,4,2,40.0,2.4,6.2,5.3,0.58,0.72,0
1,0,2,3,1,22.7,2.2,6.3,5.7,0.66,0.78,0
1,0,2,4,1,28.4,2.3,6.3,5.7,0.64,0.75,0
0,1,5,9,2,62.2,2.3,6.3,5.7,0.65,0.75,0
1,0,2,1,1,22.1,2.3,6.3,5.7,0.65,0.76,0
1,0,2,2,1,24.9,2.2,6.3,5.9,0.68,0.78,0
1,0,2,0,1,22.0,2.4,6.3,5.4,0.6,0.74,0
1,0,2,4,1,20.6,2.4,6.3,5.3,0.59,0.74,0
0,0,2,2,1,24.1,2.4,6.3,5.4,0.59,0.73,0
1,1,6,7,2,62.7,2.3,6.3,5.5,0.64,0.77,0
1,1,6,8,2,66.6,2.3,6.2,5.6,0.64,0.76,0
1,1,4,7,2,50.7,2.2,6.3,5.8,0.67,0.79,0
0,0,2,3,1,21.4,2.3,6.3,5.6,0.64,0.76,0
1,0,2,1,1,21.7,2.2,6.2,5.7,0.67,0.78,0
1,0,2,6,1,25.7,2.1,6.3,6.1,0.72,0.8,0
0,1,5,7,2,55.9,2.3,6.3,5.3,0.6,0.76,0
1,1,7,12,2,79.2,2.3,6.3,5.5,0.63,0.77,1
0,0,2,5,1,21.8,2.4,6.3,5.4,0.6,0.74,0
1,0,2,3,1,24.6,2.3,6.3,5.5,0.62,0.75,0
1,0,2,6,1,22.6,2.4,6.3,5.3,0.59,0.74,0
1,0,2,1,1,22.4,2.2,6.3,5.9,0.66,0.73,0
0,0,2,1,1,20.1,2.3,6.3,5.6,0.63,0.75,0
1,0,2,2,1,24.3,2.2,6.3,5.7,0.65,0.74,0
0,0,2,3,1,19.2,2.3,6.3,5.6,0.64,0.77,0
1,0,2,5,1,21.2,2.4,6.3,5.4,0.59,0.72,0
1,1,7,12,2,81.7,2.2,6.3,5.8,0.67,0.78,1
1,1,6,11,2,80.4,2.3,6.3,5.5,0.62,0.73,1
1,1,6,12,2,69.2,2.4,6.3,5.3,0.58,0.72,1
1,0,3,3,1,28.9,2.2,6.3,5.7,0.66,0.78,0
1,0,2,1,1,23.1,2.3,6.3,5.7,0.65,0.76,0
0,1,5,9,2,56.8,2.3,6.3,5.5,0.62,0.75,0
1,1,6,10,2,63.9,2.1,6.2,6.0,0.7,0.78,0
0,0,2,2,1,27.0,2.4,6.3,5.3,0.57,0.7,0
1,0,3,2,1,26.8,2.1,6.2,6.0,0.71,0.79,0
1,0,4,8,2,43.1,2.0,6.3,6.3,0.76,0.86,0
1,0,2,1,1,21.0,2.2,6.3,5.7,0.67,0.8,0
0,0,2,6,1,27.9,2.4,6.3,5.4,0.6,0.72,0
1,0,4,3,2,34.3,2.2,6.2,5.7,0.66,0.78,0
1,0,2,0,1,23.7,2.3,6.3,5.7,0.66,0.76,0
1,0,2,3,1,26.8,2.3,6.3,5.7,0.65,0.75,0
1,0,2,2,1,23.0,2.2,6.3,5.8,0.68,0.79,0
0,0,3,3,1,23.3,2.4,6.3,5.3,0.58,0.7,0
0,0,3,1,1,25.1,2.3,6.3,5.4,0.61,0.75,0
1,1,4,5,2,55.1,2.3,6.3,5.7,0.66,0.78,0
1,0,2,2,1,22.1,2.2,6.3,5.7,0.65,0.75,0
0,1,4,6,2,54.4,2.3,6.3,5.5,0.62,0.75,0
1,0,2,2,1,22.8,2.3,6.3,5.7,0.64,0.73,0
0,1,4,4,2,48.6,2.2,6.3,5.7,0.65,0.76,0
0,0,3,5,1,26.7,2.3,6.3,5.6,0.63,0.74,0
1,1,5,8,2,56.1,2.3,6.3,5.6,0.64,0.75,0
1,0,4,2,2,35.1,2.1,6.2,6.2,0.74,0.82,0
1,1,5,7,2,53.4,2.4,6.3,5.3,0.57,0.69,0
0,0,3,3,1,25.9,2.4,6.3,5.3,0.58,0.72,0
0,0,2,3,1,24.0,2.3,6.3,5.6,0.62,0.72,0
1,1,5,8,2,55.2,2.2,6.3,5.8,0.68,0.79,0
1,0,2,2,1,23.3,2.3,6.3,5.5,0.63,0.76,0
1,0,2,1,1,24.4,2.3,6.3,5.7,0.65,0.77,0
0,0,2,0,1,21.5,2.3,6.3,5.7,0.63,0.72,0
1,0,3,2,1,22.2,2.3,6.3,5.4,0.61,0.75,0
1,0,2,4,1,25.7,2.3,6.3,5.6,0.63,0.72,0
1,0,3,0,2,29.6,2.3,6.2,5.6,0.63,0.76,0
1,0,4,3,2,42.3,2.3,6.3,5.4,0.61,0.75,0
1,0,4,4,2,43.3,2.3,6.2,5.5,0.62,0.74,0
1,0,2,2,1,26.5,2.3,6.3,5.5,0.61,0.74,0
1,1,6,10,2,65.4,2.2,6.3,5.9,0.68,0.78,0
0,0,2,1,1,22.8,2.4,6.3,5.2,0.57,0.71,0
1,1,4,5,2,52.5,2.3,6.3,5.5,0.62,0.75,0
1,1,6,8,2,72.0,2.2,6.2,5.7,0.66,0.76,1
1,0,3,1,1,25.1,2.3,6.3,5.6,0.63,0.73,0
1,0,3,1,1,22.3,2.3,6.3,5.6,0.65,0.78,0
0,0,2,4,1,22.6,2.3,6.3,5.5,0.61,0.74,0
1,0,2,0,1,21.8,2.2,6.3,5.8,0.68,0.79,0
1,0,4,7,2,42.0,2.3,6.3,5.7,0.65,0.75,0
1,0,4,3,2,40.8,2.2,6.3,5.8,0.67,0.79,0
1,1,5,8,2,53.7,2.1,6.3,6.1,0.72,0.81,0
1,1,6,9,2,72.2,2.2,6.2,5.7,0.66,0.78,1
1,1,5,7,2,63.3,2.2,6.3,5.7,0.67,0.79,0
1,0,2,2,1,21.2,2.3,6.3,5.5,0.62,0.76,0
1,0,4,7,2,44.6,2.1,6.3,5.9,0.7,0.8,0
0,0,3,4,1,24.9,2.3,6.3,5.4,0.61,0.75,0
1,0,2,3,1,22.4,2.3,6.3,5.7,0.65,0.76,0
0,0,3,3,1,27.2,2.4,6.4,5.3,0.6,0.76,0
1,0,2,3,1,24.1,2.3,6.3,5.6,0.64,0.76,0
1,0,4,5,2,39.7,2.2,6.3,5.7,0.65,0.78,0
1,0,2,1,1,20.2,2.4,6.3,5.2,0.58,0.74,0
0,0,2,4,1,22.2,2.4,6.3,5.2,0.58,0.75,0
1,0,3,1,1,25.9,2.2,6.3,5.7,0.66,0.78,0
1,0,2,2,1,29.8,2.3,6.3,5.6,0.64,0.77,0
1,0,2,3,1,22.5,2.3,6.3,5.6,0.65,0.77,0
1,0,4,1,2,37.4,2.1,6.3,6.1,0.73,0.81,0
1,0,2,0,1,23.3,2.3,6.3,5.6,0.63,0.77,0
1,0,2,1,1,22.4,2.3,6.3,5.4,0.6,0.76,0
0,0,4,7,2,46.7,2.4,6.3,5.3,0.58,0.72,0
0,0,3,1,1,25.4,2.3,6.3,5.4,0.61,0.76,0
1,0,2,2,1,24.9,2.3,6.3,5.6,0.64,0.77,0
1,1,5,8,2,56.4,2.1,6.3,5.9,0.7,0.81,0
1,1,5,4,2,62.0,2.2,6.2,5.7,0.67,0.78,0
1,0,3,6,1,33.7,2.3,6.3,5.6,0.65,0.79,0
1,0,3,5,1,25.1,2.3,6.3,5.5,0.62,0.75,0
1,1,4,4,2,47.9,2.4,6.3,5.5,0.59,0.7,0
1,0,3,4,1,34.9,2.2,6.3,5.9,0.7,0.81,0
0,0,2,2,1,21.5,2.2,6.3,5.7,0.66,0.77,0
1,0,3,5,2,36.1,2.4,6.2,5.3,0.58,0.72,0
1,0,2,3,1,24.5,2.2,6.2,5.8,0.68,0.78,0
0,0,2,2,1,24.0,2.4,6.3,5.4,0.59,0.71,0
1,0,2,2,1,23.5,2.3,6.3,5.7,0.66,0.77,0
1,1,5,8,2,64.1,2.2,6.3,5.9,0.69,0.8,0
0,0,2,1,1,22.5,2.3,6.2,5.6,0.65,0.77,0
1,0,4,4,2,42.9,2.2,6.2,5.6,0.66,0.78,0
1,0,4,4,2,40.5,2.3,6.2,5.5,0.62,0.75,0
1,0,3,4,1,28.3,2.3,6.3,5.6,0.65,0.77,0
1,1,5,8,2,49.5,2.2,6.3,5.7,0.66,0.77,0
1,0,2,1,1,21.7,2.3,6.3,5.5,0.62,0.76,0
1,1,4,5,2,49.8,2.3,6.3,5.5,0.63,0.76,0
1,1,6,9,2,78.9,2.3,6.2,5.6,0.63,0.74,1
0,0,3,3,1,27.2,2.3,6.3,5.4,0.61,0.75,0
1,0,3,2,1,26.1,2.4,6.3,5.3,0.59,0.75,0
1,0,2,1,1,22.8,2.2,6.2,5.8,0.68,0.77,0
1,0,3,4,1,33.6,2.4,6.3,5.2,0.57,0.72,0
1,0,2,3,1,22.5,2.3,6.2,5.5,0.62,0.75,0
1,0,3,5,2,37.4,2.3,6.3,5.6,0.63,0.74,0
1,0,3,1,1,24.3,2.2,6.3,5.7,0.66,0.79,0
1,0,3,2,1,25.1,2.2,6.2,5.7,0.67,0.79,0
0,0,2,2,1,26.0,2.3,6.3,5.5,0.63,0.75,0
1,0,2,0,1,24.6,2.2,6.3,5.9,0.69,0.79,0
1,1,8,11,2,91.1,2.4,6.3,5.3,0.56,0.69,1
1,0,2,3,1,24.3,2.4,6.2,5.3,0.58,0.72,0
1,0,3,5,1,24.5,2.1,6.2,5.9,0.7,0.81,0
0,1,5,7,2,60.8,2.3,6.3,5.5,0.63,0.76,0
1,0,3,1,1,26.9,2.3,6.3,5.6,0.64,0.76,0
1,0,3,2,1,22.5,2.3,6.3,5.7,0.65,0.75,0
1,0,2,0,1,21.7,2.3,6.3,5.5,0.63,0.75,0
1,0,3,2,1,30.8,2.2,6.3,5.8,0.68,0.79,0
1,0,4,6,2,46.0,2.3,6.3,5.5,0.63,0.75,0
1,0,2,4,1,21.1,2.3,6.3,5.4,0.61,0.75,0
1,0,3,1,2,31.9,2.3,6.2,5.8,0.65,0.73,0
1,1,6,11,2,73.9,2.2,6.3,5.6,0.65,0.77,1
1,0,3,4,1,34.1,2.3,6.3,5.4,0.6,0.75,0
1,1,7,9,2,83.6,2.3,6.3,5.5,0.62,0.74,1
1,0,4,4,2,45.8,2.3,6.3,5.6,0.64,0.77,0
1,0,2,1,1,26.5,2.2,6.2,5.9,0.69,0.79,0
1,0,2,0,1,20.8,2.4,6.3,5.4,0.59,0.72,0
0,1,4,6,2,47.2,2.3,6.2,5.5,0.63,0.77,0
1,0,2,5,1,19.8,2.3,6.3,5.5,0.62,0.77,0
1,0,2,4,1,27.2,2.3,6.3,5.6,0.65,0.77,0
0,0,2,3,1,23.0,2.4,6.3,5.3,0.59,0.73,0
0,0,2,4,1,26.4,2.2,6.3,5.9,0.69,0.8,0
1,1,6,9,2,69.6,2.3,6.3,5.4,0.61,0.74,1
1,0,2,1,1,25.2,2.3,6.3,5.4,0.61,0.76,0
1,0,4,8,1,38.3,2.3,6.3,5.7,0.66,0.78,0
1,0,4,1,2,39.7,2.2,6.3,5.9,0.69,0.8,0
1,0,4,7,2,46.4,2.2,6.3,5.8,0.67,0.77,0
1,0,4,6,2,41.3,2.2,6.3,5.6,0.66,0.8,0
0,1,4,6,2,52.1,2.2,6.2,5.9,0.69,0.8,0
1,0,2,4,1,20.1,2.3,6.2,5.5,0.62,0.74,0
1,0,2,1,1,22.7,2.2,6.3,5.7,0.66,0.77,0
1,0,2,3,1,21.6,2.3,6.2,5.5,0.63,0.78,0
1,0,2,2,1,26.4,2.3,6.3,5.5,0.63,0.75,0
1,0,3,3,1,22.3,2.1,6.2,5.9,0.7,0.8,0
1,0,3,3,2,37.1,2.2,6.2,5.8,0.66,0.76,0
0,0,2,3,1,24.3,2.4,6.3,5.2,0.57,0.72,0
1,0,2,2,1,21.2,2.2,6.3,5.7,0.66,0.76,0
1,0,4,5,2,44.0,2.3,6.3,5.6,0.64,0.77,0
1,0,3,2,1,23.7,2.4,6.3,5.3,0.57,0.69,0
0,0,4,5,2,42.4,2.3,6.3,5.5,0.62,0.74,0
1,0,1,2,1,19.7,2.2,6.2,5.8,0.67,0.76,0
1,1,4,7,2,50.5,2.3,6.3,5.7,0.64,0.72,0
0,0,4,1,2,38.5,2.3,6.3,5.4,0.61,0.75,0
1,0,3,5,1,25.4,2.3,6.3,5.5,0.61,0.72,0
1,0,3,6,1,33.1,2.2,6.2,5.8,0.67,0.77,0
1,0,4,6,2,42.9,2.2,6.3,5.7,0.66,0.79,0
1,0,3,3,1,24.1,2.3,6.2,5.6,0.61,0.7,0
1,0,3,5,1,25.0,2.2,6.2,5.7,0.67,0.79,0
0,0,4,7,2,45.8,2.4,6.3,5.3,0.58,0.73,0
1,0,3,4,1,26.6,2.3,6.3,5.6,0.65,0.79,0
1,1,6,12,2,72.2,2.3,6.2,5.6,0.64,0.77,1
1,0,2,2,1,24.7,2.2,6.2,5.8,0.68,0.78,0
1,0,2,4,1,29.2,2.2,6.3,5.9,0.7,0.81,0
1,0,3,4,2,35.2,2.3,6.3,5.6,0.64,0.77,0
1,0,2,3,1,25.0,2.2,6.2,5.7,0.66,0.78,0
1,0,3,2,1,28.9,2.3,6.2,5.6,0.64,0.76,0
1,1,8,14,2,94.4,2.4,6.3,5.4,0.6,0.74,1
0,0,3,1,1,23.1,2.3,6.2,5.5,0.62,0.75,0
1,1,5,2,2,62.4,2.2,6.3,5.7,0.66,0.77,0
1,1,6,9,2,67.9,2.4,6.3,5.4,0.59,0.73,0
0,1,6,5,2,68.1,2.4,6.3,5.3,0.58,0.72,0
1,1,5,4,2,52.2,2.2,6.3,5.7,0.67,0.78,0
1,0,3,4,1,28.5,2.3,6.3,5.5,0.62,0.76,0
1,0,2,0,1,21.8,2.4,6.3,5.3,0.58,0.73,0
1,0,4,4,2,42.6,2.2,6.3,5.6,0.66,0.79,0
1,0,2,4,1,23.8,2.2,6.3,5.7,0.67,0.79,0
1,0,3,7,1,28.4,2.2,6.3,5.7,0.66,0.77,0
1,1,5,6,2,49.7,2.1,6.2,6.1,0.72,0.81,0
1,0,3,2,1,31.1,2.2,6.3,5.8,0.67,0.79,0
1,0,3,1,1,27.1,2.3,6.2,5.5,0.62,0.75,0
1,0,3,7,1,37.4,2.3,6.3,5.6,0.65,0.77,0
1,1,5,8,2,54.8,2.2,6.3,5.7,0.66,0.78,0
1,0,3,1,1,25.1,2.2,6.3,5.6,0.65,0.78,0
1,0,2,3,1,21.7,2.2,6.2,5.8,0.67,0.76,0
1,0,2,0,1,25.4,2.2,6.3,5.8,0.68,0.77,0
1,0,2,2,1,22.1,2.3,6.3,5.6,0.63,0.75,0
0,1,4,3,2,49.8,2.4,6.3,5.3,0.57,0.7,0
1,0,3,5,1,31.6,2.4,6.3,5.5,0.6,0.71,0
1,0,2,2,1,24.8,2.2,6.3,5.7,0.66,0.78,0
1,0,3,3,1,26.0,2.3,6.2,5.8,0.65,0.74,0
1,0,2,4,1,28.2,2.4,6.3,5.3,0.57,0.68,0
1,0,3,0,1,26.4,2.2,6.3,5.7,0.65,0.75,0
1,0,2,1,1,23.9,2.2,6.2,5.8,0.68,0.79,0
0,0,2,5,1,26.5,2.3,6.3,5.5,0.61,0.73,0
1,1,6,8,2,64.4,2.2,6.3,5.7,0.66,0.77,0
1,1,5,9,2,57.1,2.3,6.2,5.8,0.65,0.72,0
0,0,4,5,2,47.5,2.4,6.3,5.3,0.6,0.75,0
1,0,3,4,2,35.9,2.2,6.2,5.8,0.67,0.8,0
0,0,2,0,1,22.3,2.3,6.3,5.5,0.61,0.72,0
1,0,2,4,1,23.6,2.3,6.3,5.7,0.64,0.74,0
0,0,2,3,1,19.7,2.4,6.3,5.4,0.6,0.72,0
0,0,2,1,1,21.0,2.4,6.3,5.2,0.57,0.7,0
1,0,4,4,2,42.9,2.2,6.2,5.9,0.69,0.8,0
1,0,3,4,1,23.7,2.3,6.3,5.5,0.62,0.76,0
1,0,2,5,1,21.9,2.3,6.3,5.4,0.61,0.75,0
1,1,5,8,2,56.4,2.2,6.2,5.8,0.66,0.75,0
1,0,3,2,1,25.3,2.3,6.3,5.6,0.64,0.78,0
1,0,4,3,2,44.1,2.3,6.3,5.6,0.63,0.76,0
1,0,2,5,1,24.7,2.3,6.3,5.5,0.62,0.74,0
0,1,5,10,2,54.3,2.3,6.3,5.6,0.64,0.76,0
1,0,3,4,1,28.5,2.3,6.3,5.7,0.64,0.72,0
0,0,4,7,2,42.9,2.3,6.3,5.4,0.6,0.72,0
1,1,8,15,2,90.8,2.2,6.2,5.8,0.68,0.78,1
1,0,2,0,1,23.5,2.2,6.2,5.7,0.65,0.77,0
1,1,7,13,2,85.8,2.2,6.3,5.9,0.69,0.8,1
1,0,3,2,2,39.9,2.4,6.3,5.3,0.6,0.74,0
1,0,3,4,1,34.6,2.4,6.3,5.3,0.59,0.73,0
0,0,2,2,1,22.2,2.4,6.2,5.4,0.59,0.73,0
1,0,3,3,1,25.8,2.1,6.3,5.9,0.7,0.82,0
1,0,2,2,1,26.0,2.3,6.3,5.6,0.63,0.74,0
0,0,2,4,1,19.6,2.4,6.3,5.2,0.57,0.72,0
1,1,5,8,2,54.4,2.3,6.3,5.6,0.64,0.75,0
1,0,3,1,1,25.9,2.2,6.3,5.7,0.66,0.8,0
0,0,3,2,1,21.2,2.4,6.3,5.3,0.57,0.71,0
0,0,3,3,1,25.3,2.3,6.2,5.7,0.65,0.75,0
1,1,4,3,2,50.2,2.3,6.2,5.7,0.64,0.75,0
